selection_order,disease,source_disease,therapeutic_area,rank,drug,retrieval_score,best_path_pattern,best_path_nodes,best_path_rels
3,Androgenetic alopecia,androgenetic alopecia,autoimmune_derm_inflammatory,1,Testosterone,8.062084,gene_gene,"[""Testosterone"", ""AR"", ""PARP1"", ""androgenetic alopecia""]","[""activation"", ""ppi"", ""associated_with""]"
3,Androgenetic alopecia,androgenetic alopecia,autoimmune_derm_inflammatory,2,Bimatoprost,7.486272,bio_bridge,"[""Bimatoprost"", ""PTGFR"", ""parturition"", ""CRH"", ""androgenetic alopecia""]","[""activation"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
3,Androgenetic alopecia,androgenetic alopecia,autoimmune_derm_inflammatory,3,Curcumin sulfate,6.912526,drug_to_disease_via_anchor_gene_path,"[""Curcumin sulfate"", ""VDR"", ""cell differentiation"", ""SRD5A2"", ""androgenetic alopecia""]","[""target"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
3,Androgenetic alopecia,androgenetic alopecia,autoimmune_derm_inflammatory,4,Copper,5.735008,drug_to_disease_anchor_gene,"[""Copper"", ""PAM"", ""AR"", ""androgenetic alopecia""]","[""enzyme"", ""ppi"", ""associated_with""]"
3,Androgenetic alopecia,androgenetic alopecia,autoimmune_derm_inflammatory,5,Acetylsalicylic acid,4.57435,gene_gene,"[""Acetylsalicylic acid"", ""CASP1"", ""AR"", ""androgenetic alopecia""]","[""target"", ""ppi"", ""associated_with""]"
4,Dengue disease,dengue disease,infectious,1,Zolmitriptan,7.85939,gene_gene,"[""Zolmitriptan"", ""HTR1B"", ""CD209"", ""dengue disease""]","[""activation"", ""ppi"", ""associated_with""]"
4,Dengue disease,dengue disease,infectious,2,Dasatinib,7.601574,gene_gene,"[""Dasatinib"", ""KIT"", ""PLCE1"", ""dengue disease""]","[""inhibition"", ""ppi"", ""associated_with""]"
4,Dengue disease,dengue disease,infectious,3,Ribavirin,7.305395,bio_bridge,"[""Ribavirin"", ""IMPDH1"", ""Neutrophil degranulation"", ""CLEC5A"", ""dengue disease""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
4,Dengue disease,dengue disease,infectious,4,Doxycycline,7.001154,bio_bridge,"[""Doxycycline"", ""MMP8"", ""Neutrophil degranulation"", ""CLEC5A"", ""dengue disease""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
4,Dengue disease,dengue disease,infectious,5,Capecitabine,6.987974,bio_bridge,"[""Capecitabine"", ""TYMS"", ""modulation by virus of host process"", ""CD209"", ""dengue disease""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
5,Respiratory syncytial virus infectious disease,respiratory syncytial virus infectious disease,infectious,1,Oseltamivir,2.189088,family_label_edge,"[""Oseltamivir"", ""influenza"", ""viral respiratory tract infection"", ""respiratory syncytial virus infectious disease""]","[""indication"", ""parent_child"", ""parent_child""]"
5,Respiratory syncytial virus infectious disease,respiratory syncytial virus infectious disease,infectious,2,Peramivir,2.179872,family_label_edge,"[""Peramivir"", ""influenza"", ""viral respiratory tract infection"", ""respiratory syncytial virus infectious disease""]","[""indication"", ""parent_child"", ""parent_child""]"
5,Respiratory syncytial virus infectious disease,respiratory syncytial virus infectious disease,infectious,3,Zanamivir,2.17962,family_label_edge,"[""Zanamivir"", ""influenza"", ""viral respiratory tract infection"", ""respiratory syncytial virus infectious disease""]","[""indication"", ""parent_child"", ""parent_child""]"
5,Respiratory syncytial virus infectious disease,respiratory syncytial virus infectious disease,infectious,4,Umifenovir,2.178451,family_label_edge,"[""Umifenovir"", ""influenza"", ""viral respiratory tract infection"", ""respiratory syncytial virus infectious disease""]","[""indication"", ""parent_child"", ""parent_child""]"
5,Respiratory syncytial virus infectious disease,respiratory syncytial virus infectious disease,infectious,5,Favipiravir,2.177629,family_label_edge,"[""Favipiravir"", ""influenza"", ""viral respiratory tract infection"", ""respiratory syncytial virus infectious disease""]","[""indication"", ""parent_child"", ""parent_child""]"
6,Crohn disease,Crohn disease,autoimmune_derm_inflammatory,1,Methantheline,8.016032,gene_gene,"[""Methantheline"", ""HRH2"", ""STAT3"", ""Crohn disease""]","[""inhibition"", ""ppi"", ""associated_with""]"
6,Crohn disease,Crohn disease,autoimmune_derm_inflammatory,2,Betamethasone,7.663116,gene_gene,"[""Betamethasone"", ""NR3C1"", ""SMAD3"", ""Crohn disease""]","[""activation"", ""ppi"", ""associated_with""]"
6,Crohn disease,Crohn disease,autoimmune_derm_inflammatory,3,Triamcinolone,7.659495,gene_gene,"[""Triamcinolone"", ""NR3C1"", ""SMAD3"", ""Crohn disease""]","[""activation"", ""ppi"", ""associated_with""]"
6,Crohn disease,Crohn disease,autoimmune_derm_inflammatory,4,Prednisolone,7.659053,gene_gene,"[""Prednisolone"", ""NR3C1"", ""SMAD3"", ""Crohn disease""]","[""activation"", ""ppi"", ""associated_with""]"
6,Crohn disease,Crohn disease,autoimmune_derm_inflammatory,5,Methylprednisolone,7.65864,gene_gene,"[""Methylprednisolone"", ""NR3C1"", ""SMAD3"", ""Crohn disease""]","[""activation"", ""ppi"", ""associated_with""]"
7,Non-small cell lung carcinoma,non-small cell lung carcinoma,cancer,1,Osimertinib,9.084508,drug_to_disease_via_anchor_gene_path,"[""Osimertinib"", ""EGFR"", ""CAV1"", ""regulation of smooth muscle contraction"", ""MIR145"", ""non-small cell lung carcinoma""]","[""inhibition"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
7,Non-small cell lung carcinoma,non-small cell lung carcinoma,cancer,2,Gefitinib,9.080685,drug_to_disease_via_anchor_gene_path,"[""Gefitinib"", ""EGFR"", ""CAV1"", ""regulation of smooth muscle contraction"", ""MIR145"", ""non-small cell lung carcinoma""]","[""inhibition"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
7,Non-small cell lung carcinoma,non-small cell lung carcinoma,cancer,3,Erlotinib,9.066318,drug_to_disease_via_anchor_gene_path,"[""Erlotinib"", ""EGFR"", ""CAV1"", ""regulation of smooth muscle contraction"", ""MIR145"", ""non-small cell lung carcinoma""]","[""inhibition"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
7,Non-small cell lung carcinoma,non-small cell lung carcinoma,cancer,4,Afatinib,9.006595,drug_to_disease_via_anchor_gene_path,"[""Afatinib"", ""EGFR"", ""CAV1"", ""regulation of smooth muscle contraction"", ""MIR145"", ""non-small cell lung carcinoma""]","[""inhibition"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
7,Non-small cell lung carcinoma,non-small cell lung carcinoma,cancer,5,Canertinib,8.996574,drug_to_disease_via_anchor_gene_path,"[""Canertinib"", ""EGFR"", ""CAV1"", ""regulation of smooth muscle contraction"", ""MIR145"", ""non-small cell lung carcinoma""]","[""inhibition"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
8,Congestive heart failure,congestive heart failure,cardiovascular,1,Copper,8.273762,drug_to_disease_anchor_gene,"[""Copper"", ""NME1"", ""RAC1"", ""congestive heart failure""]","[""target"", ""ppi"", ""associated_with""]"
8,Congestive heart failure,congestive heart failure,cardiovascular,2,Acetazolamide,7.865632,gene_gene,"[""Acetazolamide"", ""CA2"", ""SLC9A1"", ""congestive heart failure""]","[""inhibition"", ""ppi"", ""associated_with""]"
8,Congestive heart failure,congestive heart failure,cardiovascular,3,Rofecoxib,7.795354,gene_gene,"[""Rofecoxib"", ""PTGS2"", ""PTGS1"", ""congestive heart failure""]","[""inhibition"", ""ppi"", ""associated_with""]"
8,Congestive heart failure,congestive heart failure,cardiovascular,4,Dasatinib,7.755911,gene_gene,"[""Dasatinib"", ""EPHA2"", ""GRK2"", ""congestive heart failure""]","[""inhibition"", ""ppi"", ""associated_with""]"
8,Congestive heart failure,congestive heart failure,cardiovascular,5,Daunorubicin,7.727155,gene_gene,"[""Daunorubicin"", ""TOP2A"", ""GSK3B"", ""congestive heart failure""]","[""inhibition"", ""ppi"", ""associated_with""]"
9,Pernicious anemia,pernicious anemia,hematologic_genetic,1,Hydroxocobalamin,11.483172,drug_target_to_anchor_disease_gene_via_bio,"[""Hydroxocobalamin"", ""TCN1"", ""cobalamin metabolic process"", ""CBLIF"", ""pernicious anemia""]","[""target"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
9,Pernicious anemia,pernicious anemia,hematologic_genetic,2,Cyanocobalamin,10.671661,drug_target_to_anchor_disease_gene_via_bio,"[""Cyanocobalamin"", ""TCN1"", ""cobalamin metabolic process"", ""CBLIF"", ""pernicious anemia""]","[""transporter"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
9,Pernicious anemia,pernicious anemia,hematologic_genetic,3,Ergocalciferol,7.258054,drug_to_disease_via_anchor_gene_path,"[""Ergocalciferol"", ""GC"", ""CUBN"", ""cobalamin metabolic process"", ""CBLIF"", ""pernicious anemia""]","[""carrier"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
9,Pernicious anemia,pernicious anemia,hematologic_genetic,4,Cholecalciferol,7.256061,drug_to_disease_via_anchor_gene_path,"[""Cholecalciferol"", ""GC"", ""CUBN"", ""cobalamin metabolic process"", ""CBLIF"", ""pernicious anemia""]","[""carrier"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
9,Pernicious anemia,pernicious anemia,hematologic_genetic,5,Alfacalcidol,7.136152,drug_to_disease_via_anchor_gene_path,"[""Alfacalcidol"", ""GC"", ""CUBN"", ""cobalamin metabolic process"", ""CBLIF"", ""pernicious anemia""]","[""carrier"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
10,Chronic hepatitis C virus infection,chronic hepatitis C virus infection,infectious,1,Warfarin,8.230475,drug_to_disease_anchor_gene,"[""Warfarin"", ""VKORC1"", ""HP"", ""chronic hepatitis C virus infection""]","[""inhibition"", ""ppi"", ""associated_with""]"
10,Chronic hepatitis C virus infection,chronic hepatitis C virus infection,infectious,2,Dicoumarol,8.22575,drug_to_disease_anchor_gene,"[""Dicoumarol"", ""VKORC1"", ""HP"", ""chronic hepatitis C virus infection""]","[""inhibition"", ""ppi"", ""associated_with""]"
10,Chronic hepatitis C virus infection,chronic hepatitis C virus infection,infectious,3,Zinc chloride,7.621677,drug_to_disease_anchor_gene,"[""Zinc chloride"", ""HP"", ""chronic hepatitis C virus infection""]","[""target"", ""associated_with""]"
10,Chronic hepatitis C virus infection,chronic hepatitis C virus infection,infectious,4,Oxygen,7.528587,drug_target_to_anchor_disease_gene_via_bio,"[""Oxygen"", ""NOX1"", ""defense response"", ""HP"", ""chronic hepatitis C virus infection""]","[""target"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
10,Chronic hepatitis C virus infection,chronic hepatitis C virus infection,infectious,5,Ribavirin,7.342919,bio_bridge,"[""Ribavirin"", ""IMPDH1"", ""Neutrophil degranulation"", ""HP"", ""chronic hepatitis C virus infection""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
11,Hyperinsulinemic hypoglycemia,hyperinsulinemic hypoglycemia,metabolic_endocrine,1,Diazoxide,8.147522,drug_to_disease_via_anchor_gene_path,"[""Diazoxide"", ""KCNJ11"", ""negative regulation of insulin secretion"", ""ABCC8"", ""hyperinsulinemic hypoglycemia""]","[""activation"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
11,Hyperinsulinemic hypoglycemia,hyperinsulinemic hypoglycemia,metabolic_endocrine,2,Zinc,7.523989,drug_target_ppi_to_anchor_gene,"[""Zinc"", ""APOA2"", ""FOXA2""]","[""target"", ""ppi""]"
11,Hyperinsulinemic hypoglycemia,hyperinsulinemic hypoglycemia,metabolic_endocrine,3,Levoketoconazole,7.465777,bio_bridge,"[""Levoketoconazole"", ""CYP11B1"", ""glucose homeostasis"", ""GCK"", ""hyperinsulinemic hypoglycemia""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
11,Hyperinsulinemic hypoglycemia,hyperinsulinemic hypoglycemia,metabolic_endocrine,4,Sitagliptin,7.39697,bio_bridge,"[""Sitagliptin"", ""DPP4"", ""regulation of insulin secretion"", ""GCK"", ""hyperinsulinemic hypoglycemia""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
11,Hyperinsulinemic hypoglycemia,hyperinsulinemic hypoglycemia,metabolic_endocrine,5,Linagliptin,7.392226,bio_bridge,"[""Linagliptin"", ""DPP4"", ""regulation of insulin secretion"", ""GCK"", ""hyperinsulinemic hypoglycemia""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
12,Alzheimer disease,Alzheimer disease,neuro_mental,1,Galantamine,8.662159,pheno_gene_bridge,"[""Galantamine"", ""ACHE"", ""APP"", ""Memory impairment"", ""Alzheimer disease""]","[""inhibition"", ""ppi"", ""associated_with"", ""phenotype_present""]"
12,Alzheimer disease,Alzheimer disease,neuro_mental,2,Donepezil,8.619342,pheno_gene_bridge,"[""Donepezil"", ""ACHE"", ""APP"", ""Memory impairment"", ""Alzheimer disease""]","[""inhibition"", ""ppi"", ""associated_with"", ""phenotype_present""]"
12,Alzheimer disease,Alzheimer disease,neuro_mental,3,Sirolimus,8.249736,pheno_gene_bridge,"[""Sirolimus"", ""FKBP1A"", ""APP"", ""Memory impairment"", ""Alzheimer disease""]","[""inhibition"", ""ppi"", ""associated_with"", ""phenotype_present""]"
12,Alzheimer disease,Alzheimer disease,neuro_mental,4,Valproic acid,8.226232,pheno_gene_bridge,"[""Valproic acid"", ""ALDH5A1"", ""SOD2"", ""Seizure"", ""Alzheimer disease""]","[""inhibition"", ""ppi"", ""associated_with"", ""phenotype_present""]"
12,Alzheimer disease,Alzheimer disease,neuro_mental,5,Copper,8.166303,drug_to_disease_anchor_gene,"[""Copper"", ""TF"", ""IGF1"", ""Alzheimer disease""]","[""target"", ""ppi"", ""associated_with""]"
13,Parkinson disease,Parkinson disease,neuro_mental,1,Tetrabenazine,8.433379,gene_gene,"[""Tetrabenazine"", ""SLC18A2"", ""PARK7"", ""Parkinson disease""]","[""inhibition"", ""ppi"", ""associated_with""]"
13,Parkinson disease,Parkinson disease,neuro_mental,2,Copper,7.470225,drug_to_disease_anchor_gene,"[""Copper"", ""MAOB"", ""MAOA"", ""Parkinson disease""]","[""enzyme"", ""ppi"", ""associated_with""]"
13,Parkinson disease,Parkinson disease,neuro_mental,3,Trihexyphenidyl,7.239158,bio_bridge,"[""Trihexyphenidyl"", ""CHRM1"", ""G alpha (q) signalling events"", ""EDN1"", ""Parkinson disease""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
13,Parkinson disease,Parkinson disease,neuro_mental,4,Procyclidine,7.235676,bio_bridge,"[""Procyclidine"", ""CHRM1"", ""G alpha (q) signalling events"", ""EDN1"", ""Parkinson disease""]","[""inhibition"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
13,Parkinson disease,Parkinson disease,neuro_mental,5,Melatonin,6.98157,drug_to_disease_via_anchor_gene_path,"[""Melatonin"", ""MTNR1B"", ""SLC2A3"", ""carbohydrate metabolic process"", ""TALDO1"", ""Parkinson disease""]","[""target"", ""ppi"", ""interacts_with"", ""interacts_with"", ""associated_with""]"
14,Endometrial carcinoma,endometrial carcinoma,cancer,1,Norethisterone,8.27907,gene_gene,"[""Norethisterone"", ""PGR"", ""SPOP"", ""endometrial carcinoma""]","[""activation"", ""ppi"", ""associated_with""]"
14,Endometrial carcinoma,endometrial carcinoma,cancer,2,Progesterone,8.268251,gene_gene,"[""Progesterone"", ""PGR"", ""SPOP"", ""endometrial carcinoma""]","[""activation"", ""ppi"", ""associated_with""]"
14,Endometrial carcinoma,endometrial carcinoma,cancer,3,Medroxyprogesterone acetate,8.255878,gene_gene,"[""Medroxyprogesterone acetate"", ""PGR"", ""SPOP"", ""endometrial carcinoma""]","[""activation"", ""ppi"", ""associated_with""]"
14,Endometrial carcinoma,endometrial carcinoma,cancer,4,Levonorgestrel,8.235098,gene_gene,"[""Levonorgestrel"", ""PGR"", ""ARID1A"", ""endometrial carcinoma""]","[""activation"", ""ppi"", ""associated_with""]"
14,Endometrial carcinoma,endometrial carcinoma,cancer,5,Megestrol acetate,8.208369,gene_gene,"[""Megestrol acetate"", ""PGR"", ""ARID1A"", ""endometrial carcinoma""]","[""activation"", ""ppi"", ""associated_with""]"
15,Hemophilia,hemophilia,hematologic_genetic,1,Coagulation Factor IX Human,10.365452,drug_target_ppi_to_anchor_gene,"[""Coagulation Factor IX Human"", ""F8"", ""F9""]","[""target"", ""ppi""]"
15,Hemophilia,hemophilia,hematologic_genetic,2,Coagulation Factor IX (Recombinant),10.364443,drug_target_ppi_to_anchor_gene,"[""Coagulation Factor IX (Recombinant)"", ""F8"", ""F9""]","[""target"", ""ppi""]"
15,Hemophilia,hemophilia,hematologic_genetic,3,Vonicog Alfa,10.336511,drug_target_ppi_to_anchor_gene,"[""Vonicog Alfa"", ""F8"", ""F9""]","[""target"", ""ppi""]"
15,Hemophilia,hemophilia,hematologic_genetic,4,Von Willebrand Factor Human,10.324498,drug_target_ppi_to_anchor_gene,"[""Von Willebrand Factor Human"", ""F8"", ""F9""]","[""target"", ""ppi""]"
15,Hemophilia,hemophilia,hematologic_genetic,5,Anti-inhibitor coagulant complex,9.827535,drug_target_ppi_to_anchor_gene,"[""Anti-inhibitor coagulant complex"", ""F8"", ""F9""]","[""target"", ""ppi""]"
